Entity,Code,Sum of Year,Sum of Average student's performance,Sum of Mathematics score,Sum of Reading score,Sum of Science score,Sum of Number of Internet users,Sum of Happiness score,Sum of Academic freedom index,Sum of Gross enrolment ratio in primary education,Sum of Gross enrolment ratio in secondary education
Trinidad and Tobago,TTO,4024,836.6,831.28835,843.72558,834.78607,1541272.74,6.168,1.716,100.59165,
Tunisia,TUN,10045,1903.7867966666668,1850.3387100000002,1923.7258399999998,1570.61803,15490610.1,9.870999999999999,2.352,533.71807,336.63207
Turkey,TUR,14085,3129.6120233333336,3067.90987,3177.8487299999997,2710.8822800000003,184428570,20.721,2.524,726.55076,680.98547
Ukraine,UKR,4040,902.2049466666667,893.9628,893.47708,919.17496,28279564,9.402999999999999,1.073,181.344044,85.83319
United Arab Emirates,ARE,8067,1734.2143033333334,1727.5476400000002,1724.37757,1750.7177,23424956,27.113,0.5660000000000001,212.96278999999998,204.56543
United Kingdom,GBR,16085,4033.1059433333335,3473.2741,4015.34933,3056.1723700000002,325504618,27.458,7.319000000000001,820.8274899999999,854.2035
United States,USA,16085,3935.952531666667,3338.75948,3503.2395,2986.3554400000003,1501288114,27.972,7.181000000000001,298.52819999999997,294.40162
Uruguay,URY,14085,2967.728108333333,2929.3798699999998,2977.8781599999998,2567.75147,9604836.129999999,25.687,6.626,766.6854000000001,751.34187
Uzbekistan,UZB,2022,351.4346066666667,363.93536,335.5049,354.86356,,6.014,0.3,93.90998,97.37798
Vietnam,VNM,6049,1485.86282,1475.25894,1456.88074,1525.44878,74710232,16.357,0.9339999999999999,309.46272,182.86718000000002
